age,gender,job_type,daily_social_media_time,social_platform_preference,number_of_notifications,work_hours_per_day,perceived_productivity_score,actual_productivity_score,stress_level,sleep_hours,screen_time_before_sleep,breaks_during_work,uses_focus_apps,has_digital_wellbeing_enabled,coffee_consumption_per_day,days_feeling_burnout_per_month,job_satisfaction_score,age_group,hours_bin,daily_social_media_time_bin
39,Male,Finance,2.3,Twitter,64,7.1,7.0,6.6,9.0,4.8,0.1,2,False,False,3,9,2.0,20-40,0-4,"(1.8, 3.6]"
19,Male,Health,5.6,Twitter,52,8.2,2.2,2.1,1.0,5.2,2.0,3,False,False,2,6,1.7,0-20,4-8,"(5.4, 7.2]"
41,Female,Health,3.5,Twitter,47,8.6,8.5,7.4,5.0,6.3,0.0,2,False,False,2,26,5.6,40-60,0-4,"(1.8, 3.6]"
61,Female,Education,1.4,Twitter,62,6.4,6.9,6.0,6.0,7.0,0.0,4,True,True,3,17,5.4,60-80,0-4,"(-0.018, 1.8]"
47,Other,Health,1.4,TikTok,63,7.6,7.8,7.0,7.0,5.4,1.0,10,False,False,2,22,6.5,40-60,0-4,"(-0.018, 1.8]"
55,Female,Finance,0.1,TikTok,50,7.1,9.0,8.1,5.0,5.2,0.9,2,False,False,1,21,8.5,40-60,0-4,"(-0.018, 1.8]"
19,Male,Health,5.9,Twitter,65,6.6,3.9,3.0,5.0,5.5,0.8,1,False,False,2,22,3.2,0-20,4-8,"(5.4, 7.2]"
38,Male,IT,4.0,TikTok,57,6.3,6.9,6.1,7.0,5.0,1.3,6,True,False,1,13,5.8,20-40,0-4,"(3.6, 5.4]"
50,Male,Finance,4.2,Instagram,58,5.1,2.4,1.4,5.0,7.7,0.3,7,True,False,2,14,0.8,40-60,4-8,"(3.6, 5.4]"
29,Male,Student,1.6,Telegram,52,8.0,8.6,7.2,3.0,6.7,0.8,8,False,False,0,22,7.6,20-40,0-4,"(-0.018, 1.8]"
39,Female,Education,4.6,Facebook,73,10.6,3.2,3.7,2.0,6.8,2.0,5,True,False,0,15,4.4,20-40,4-8,"(3.6, 5.4]"
61,Female,Finance,2.0,Telegram,56,6.0,6.0,5.7,3.0,4.9,0.7,10,True,False,0,9,5.2,60-80,0-4,"(1.8, 3.6]"
42,Male,Health,2.1,Telegram,57,8.3,5.1,4.8,3.0,3.0,1.6,0,True,True,2,0,6.2,40-60,0-4,"(1.8, 3.6]"
44,Male,Finance,5.1,Facebook,55,8.1,2.2,2.4,6.0,5.0,1.7,0,False,False,0,24,0.5,40-60,4-8,"(3.6, 5.4]"
59,Male,Unemployed,3.1,Twitter,74,7.9,2.1,2.1,8.0,7.4,1.4,8,False,False,0,23,1.3,40-60,0-4,"(1.8, 3.6]"
45,Male,Student,1.0,Telegram,56,7.5,4.4,3.6,8.0,5.5,0.8,5,True,False,2,16,5.6,40-60,0-4,"(-0.018, 1.8]"
33,Male,Unemployed,0.8,Twitter,62,2.2,3.0,2.4,7.0,5.0,1.2,6,True,False,3,1,3.8,20-40,0-4,"(-0.018, 1.8]"
32,Female,Finance,2.7,Twitter,59,5.4,8.3,8.0,7.0,7.2,0.2,0,False,False,2,21,8.5,20-40,0-4,"(1.8, 3.6]"
64,Male,Student,7.1,Instagram,59,6.7,8.5,7.0,8.0,7.3,0.6,4,True,False,3,8,8.7,60-80,4-8,"(5.4, 7.2]"
61,Female,Student,2.5,TikTok,61,7.7,5.3,4.5,10.0,7.4,1.0,0,False,False,2,10,5.6,60-80,0-4,"(1.8, 3.6]"
20,Male,Finance,0.4,Facebook,55,6.4,6.8,4.2,9.0,4.7,1.3,5,False,False,2,23,5.9,0-20,0-4,"(-0.018, 1.8]"
54,Male,Education,1.7,Facebook,57,6.3,3.9,3.9,4.0,8.0,0.9,4,False,False,3,13,5.5,40-60,0-4,"(-0.018, 1.8]"
24,Female,Education,2.1,Facebook,52,7.2,8.0,4.3,6.0,8.8,1.0,8,True,False,2,9,6.0,20-40,0-4,"(1.8, 3.6]"
38,Female,Health,3.1,TikTok,67,7.1,5.6,4.7,8.0,8.0,1.7,8,False,False,2,25,4.9,20-40,0-4,"(1.8, 3.6]"
26,Male,Unemployed,3.7,Facebook,60,6.9,5.9,4.0,1.0,6.0,2.2,9,False,False,3,16,6.1,20-40,0-4,"(3.6, 5.4]"
56,Female,Finance,2.1,Telegram,60,8.0,4.1,3.2,6.0,5.8,1.0,0,True,False,3,17,2.1,40-60,0-4,"(1.8, 3.6]"
35,Male,Unemployed,0.6,Facebook,46,4.9,3.1,3.0,5.0,5.4,0.9,6,True,False,2,4,2.3,20-40,0-4,"(-0.018, 1.8]"
21,Male,Unemployed,0.4,Instagram,60,9.6,8.9,7.9,4.0,5.8,1.3,7,False,True,1,5,9.0,20-40,0-4,"(-0.018, 1.8]"
42,Female,Finance,5.0,Twitter,58,6.3,7.5,6.8,3.0,7.4,3.0,3,False,False,1,2,6.1,40-60,4-8,"(3.6, 5.4]"
31,Female,IT,4.3,Twitter,59,5.5,3.0,2.7,5.0,4.3,0.2,9,False,True,2,4,3.7,20-40,4-8,"(3.6, 5.4]"
26,Male,Education,3.6,Instagram,51,9.3,8.5,7.1,6.0,5.2,1.1,5,False,False,2,30,6.8,20-40,0-4,"(1.8, 3.6]"
43,Male,Student,2.8,TikTok,67,9.9,2.1,1.6,7.0,5.7,2.1,1,False,True,1,27,0.0,40-60,0-4,"(1.8, 3.6]"
19,Female,IT,2.0,TikTok,60,8.3,8.5,7.6,8.0,6.1,1.3,0,True,False,1,29,6.5,0-20,0-4,"(1.8, 3.6]"
37,Male,Finance,0.0,Facebook,62,10.7,7.8,7.6,6.0,6.4,1.3,3,False,False,0,19,7.2,20-40,,"(-0.018, 1.8]"
45,Male,IT,2.8,Facebook,66,4.8,5.2,4.4,6.0,6.7,2.0,0,False,False,0,31,3.7,40-60,0-4,"(1.8, 3.6]"
64,Female,Education,5.6,Telegram,63,8.8,2.6,2.7,5.0,6.9,1.3,10,True,False,5,19,3.2,60-80,4-8,"(5.4, 7.2]"
24,Female,Finance,3.0,Twitter,59,11.0,7.7,6.9,3.0,6.9,0.7,0,True,False,0,2,7.5,20-40,0-4,"(1.8, 3.6]"
61,Male,Unemployed,1.6,Facebook,51,8.0,8.9,7.4,1.0,4.8,0.7,9,False,False,4,11,8.9,60-80,0-4,"(-0.018, 1.8]"
25,Female,Unemployed,6.6,Instagram,48,2.3,6.7,5.4,1.0,3.9,0.8,3,True,False,3,12,5.1,20-40,4-8,"(5.4, 7.2]"
64,Female,Education,1.6,TikTok,66,10.0,3.3,3.4,1.0,6.3,0.8,2,True,False,2,25,4.5,60-80,0-4,"(-0.018, 1.8]"
52,Male,IT,4.6,Facebook,61,7.4,4.2,3.2,1.0,6.6,0.9,2,True,True,3,26,2.0,40-60,4-8,"(3.6, 5.4]"
31,Female,Health,0.0,TikTok,55,8.8,4.9,4.3,7.0,9.8,0.6,1,True,False,0,2,2.3,20-40,,"(-0.018, 1.8]"
34,Other,Student,3.9,Twitter,45,5.7,4.1,4.8,2.0,8.4,0.4,10,False,False,4,26,2.6,20-40,0-4,"(3.6, 5.4]"
53,Male,Student,0.4,Telegram,72,5.2,6.0,5.3,4.0,8.2,0.3,1,False,False,1,22,4.1,40-60,0-4,"(-0.018, 1.8]"
57,Male,Health,3.8,TikTok,62,6.7,7.8,7.0,3.0,5.4,1.0,5,True,False,4,1,6.3,40-60,0-4,"(3.6, 5.4]"
21,Female,Health,3.0,TikTok,57,7.5,6.9,6.9,6.0,5.3,0.9,8,False,False,2,2,6.1,20-40,0-4,"(1.8, 3.6]"
19,Female,Health,2.3,Facebook,61,2.8,5.5,5.4,4.0,5.6,0.3,10,True,False,2,9,7.7,0-20,0-4,"(1.8, 3.6]"
23,Male,Education,3.7,Facebook,49,3.9,7.9,6.8,10.0,5.9,0.4,5,False,False,2,7,5.8,20-40,0-4,"(3.6, 5.4]"
59,Female,Finance,5.2,Twitter,69,7.1,8.6,7.8,6.0,9.7,0.6,6,False,False,1,13,7.4,40-60,4-8,"(3.6, 5.4]"
21,Female,Health,2.8,Telegram,51,6.0,2.5,2.1,2.0,8.9,0.0,2,False,False,2,13,0.0,20-40,0-4,"(1.8, 3.6]"
46,Female,Education,3.8,Facebook,50,7.1,3.1,2.2,4.0,6.7,0.3,2,False,False,2,26,1.9,40-60,0-4,"(3.6, 5.4]"
35,Female,Unemployed,8.7,Telegram,67,9.5,6.6,5.5,3.0,6.2,0.5,8,False,False,1,13,5.7,20-40,8-12,"(7.2, 9.0]"
43,Male,IT,0.5,Telegram,58,8.7,7.8,6.8,6.0,6.9,0.2,8,False,True,3,22,8.1,40-60,0-4,"(-0.018, 1.8]"
61,Male,IT,1.5,Facebook,56,9.1,6.4,5.9,9.0,5.1,3.0,6,True,False,1,14,6.2,60-80,0-4,"(-0.018, 1.8]"
51,Female,Health,0.0,TikTok,53,5.8,3.5,2.8,7.0,8.0,0.8,8,False,False,2,11,5.4,40-60,,"(-0.018, 1.8]"
27,Male,IT,0.0,Instagram,64,8.4,5.7,4.4,4.0,5.7,1.7,4,True,True,2,6,4.6,20-40,,"(-0.018, 1.8]"
53,Female,Health,6.8,Twitter,52,3.8,2.8,2.1,10.0,7.2,0.7,5,True,True,2,10,2.5,40-60,4-8,"(5.4, 7.2]"
31,Male,IT,2.2,Telegram,56,6.1,5.6,5.3,10.0,7.4,1.2,10,True,True,0,1,4.6,20-40,0-4,"(1.8, 3.6]"
48,Male,IT,2.3,TikTok,69,6.7,3.3,2.5,10.0,3.0,1.7,10,False,True,1,18,2.3,40-60,0-4,"(1.8, 3.6]"
65,Male,Finance,2.4,Telegram,76,5.7,3.6,4.3,9.0,7.9,2.6,0,True,False,3,29,4.1,60-80,0-4,"(1.8, 3.6]"
32,Female,Finance,2.0,Facebook,61,2.3,5.9,4.3,2.0,5.6,0.5,10,False,False,3,23,5.2,20-40,0-4,"(1.8, 3.6]"
25,Female,IT,0.9,Twitter,66,4.8,6.3,4.5,8.0,6.1,0.6,1,False,False,0,3,5.4,20-40,0-4,"(-0.018, 1.8]"
31,Female,Finance,2.1,Twitter,55,6.9,3.2,4.8,7.0,7.9,1.9,8,False,True,1,24,2.2,20-40,0-4,"(1.8, 3.6]"
40,Male,Health,3.3,TikTok,70,10.5,5.7,5.2,1.0,7.6,1.0,8,False,False,3,21,5.8,20-40,0-4,"(1.8, 3.6]"
57,Male,Student,2.2,Telegram,73,6.3,8.1,7.1,5.0,7.3,0.9,10,False,True,2,11,8.1,40-60,0-4,"(1.8, 3.6]"
38,Female,Health,4.7,TikTok,69,10.2,3.4,2.3,9.0,5.6,0.0,10,True,False,1,13,2.6,20-40,4-8,"(3.6, 5.4]"
33,Male,Finance,2.9,Facebook,60,9.0,4.5,4.9,6.0,4.7,0.0,3,False,False,0,0,3.4,20-40,0-4,"(1.8, 3.6]"
62,Female,Education,3.0,Instagram,67,4.9,5.2,5.2,4.0,5.4,1.6,3,False,False,6,8,5.4,60-80,0-4,"(1.8, 3.6]"
35,Female,IT,2.6,Facebook,64,8.0,3.2,2.7,3.0,8.1,0.5,7,False,False,2,30,3.3,20-40,0-4,"(1.8, 3.6]"
64,Male,Finance,0.5,Telegram,55,10.0,3.0,2.0,1.0,5.9,1.7,7,True,True,0,1,2.3,60-80,0-4,"(-0.018, 1.8]"
41,Female,Unemployed,0.6,Instagram,65,8.7,8.2,6.8,5.0,7.0,1.1,1,False,False,4,5,7.5,40-60,0-4,"(-0.018, 1.8]"
43,Male,Unemployed,3.2,Instagram,56,6.9,7.3,7.0,10.0,6.1,0.5,10,True,True,2,16,6.1,40-60,0-4,"(1.8, 3.6]"
42,Female,Finance,1.5,Instagram,55,7.0,2.5,4.6,7.0,5.3,0.0,1,True,False,1,1,4.6,40-60,0-4,"(-0.018, 1.8]"
62,Male,Finance,4.2,Facebook,63,3.0,2.8,2.2,7.0,6.8,0.0,5,True,False,0,25,3.0,60-80,4-8,"(3.6, 5.4]"
58,Male,Unemployed,2.3,Telegram,67,7.5,7.3,6.3,8.0,6.3,1.3,4,False,False,2,13,6.5,40-60,0-4,"(1.8, 3.6]"
46,Female,Health,1.5,Instagram,55,3.7,6.4,6.2,10.0,7.7,1.0,5,True,False,2,27,6.6,40-60,0-4,"(-0.018, 1.8]"
32,Female,IT,3.5,TikTok,63,7.4,5.5,6.1,6.0,7.1,1.2,1,True,False,3,31,7.0,20-40,0-4,"(1.8, 3.6]"
62,Female,Student,1.8,Instagram,65,8.3,6.1,5.2,7.0,5.8,1.4,1,False,True,0,11,4.9,60-80,0-4,"(-0.018, 1.8]"
18,Female,Unemployed,0.0,Facebook,61,7.3,2.2,1.7,4.0,5.4,0.2,9,True,False,1,18,2.7,0-20,,"(-0.018, 1.8]"
42,Female,Unemployed,0.0,TikTok,65,4.4,3.9,3.0,8.0,7.7,0.4,9,True,False,1,12,2.9,40-60,,"(-0.018, 1.8]"
24,Male,Unemployed,0.8,Telegram,48,6.8,6.8,6.3,9.0,5.4,0.6,2,True,False,3,2,5.6,20-40,0-4,"(-0.018, 1.8]"
26,Female,Finance,1.5,Telegram,64,5.1,4.6,4.3,4.0,5.3,0.7,0,True,False,0,21,5.2,20-40,0-4,"(-0.018, 1.8]"
41,Female,Education,3.3,Facebook,71,5.2,2.1,1.8,6.0,6.9,0.4,7,True,False,1,16,5.8,40-60,0-4,"(1.8, 3.6]"
18,Male,Unemployed,3.5,Instagram,62,6.6,8.5,7.8,8.0,5.1,1.4,3,False,False,7,16,6.4,0-20,0-4,"(1.8, 3.6]"
61,Female,IT,5.4,Telegram,70,7.2,8.3,7.0,6.0,7.3,0.4,2,False,True,2,23,7.0,60-80,4-8,"(3.6, 5.4]"
25,Female,Student,6.3,Twitter,70,6.7,7.8,7.2,6.0,7.1,1.0,9,False,False,2,25,5.0,20-40,4-8,"(5.4, 7.2]"
41,Male,Unemployed,0.7,Instagram,61,5.8,2.8,4.5,4.0,4.0,0.8,6,False,False,3,27,3.0,40-60,0-4,"(-0.018, 1.8]"
28,Female,Education,2.7,TikTok,51,6.4,2.6,1.8,8.0,7.9,0.7,1,False,False,3,5,1.4,20-40,0-4,"(1.8, 3.6]"
34,Male,Unemployed,2.8,Facebook,53,8.2,5.4,5.4,3.0,7.2,1.5,0,False,False,2,28,2.0,20-40,0-4,"(1.8, 3.6]"
25,Male,Student,6.0,Facebook,53,7.8,2.3,2.3,1.0,7.8,1.1,7,True,False,2,22,2.6,20-40,4-8,"(5.4, 7.2]"
52,Male,Student,0.1,TikTok,59,8.3,2.2,3.2,7.0,9.4,0.6,9,False,True,1,20,4.5,40-60,0-4,"(-0.018, 1.8]"
52,Female,Unemployed,5.9,Instagram,57,4.4,3.2,3.4,9.0,8.5,1.4,9,False,False,1,14,5.0,40-60,4-8,"(5.4, 7.2]"
50,Male,IT,4.1,TikTok,66,5.3,6.8,5.5,3.0,6.6,2.0,0,True,False,0,23,6.9,40-60,4-8,"(3.6, 5.4]"
22,Female,Health,1.9,TikTok,58,7.2,4.4,4.3,3.0,7.0,0.1,5,False,True,1,5,3.5,20-40,0-4,"(1.8, 3.6]"
59,Female,Education,4.7,Twitter,54,6.5,6.7,5.9,4.0,7.7,0.9,4,False,False,2,11,6.9,40-60,4-8,"(3.6, 5.4]"
56,Female,Unemployed,2.3,TikTok,62,6.4,4.5,6.2,7.0,8.0,1.7,3,True,False,3,21,5.8,40-60,0-4,"(1.8, 3.6]"
58,Male,Finance,0.0,Facebook,63,8.4,5.9,6.4,8.0,5.8,0.0,9,False,True,2,0,6.8,40-60,,"(-0.018, 1.8]"
45,Female,Student,3.2,Telegram,66,8.5,6.5,6.9,7.0,3.6,0.0,10,False,False,4,18,7.7,40-60,0-4,"(1.8, 3.6]"
24,Female,Education,2.5,Instagram,59,7.4,4.5,3.7,3.0,6.5,1.7,10,False,True,4,12,4.0,20-40,0-4,"(1.8, 3.6]"
26,Female,IT,2.0,Telegram,53,1.5,3.4,2.9,10.0,5.9,0.7,0,False,True,4,30,2.4,20-40,0-4,"(1.8, 3.6]"
25,Female,Education,1.4,TikTok,58,3.9,3.1,2.5,6.0,7.6,1.5,8,False,False,3,0,3.9,20-40,0-4,"(-0.018, 1.8]"
29,Female,Finance,4.2,TikTok,65,6.5,3.3,2.7,4.0,6.8,0.7,6,False,False,3,17,1.4,20-40,4-8,"(3.6, 5.4]"
51,Female,Finance,3.0,Twitter,58,5.6,6.8,6.3,8.0,7.3,0.9,10,False,True,4,1,4.9,40-60,0-4,"(1.8, 3.6]"
50,Male,IT,2.0,Facebook,60,7.1,5.0,5.4,3.0,7.7,1.2,10,False,False,2,1,4.7,40-60,0-4,"(1.8, 3.6]"
65,Male,Education,1.8,Instagram,67,8.9,3.3,3.4,6.0,6.7,0.0,0,False,False,1,12,3.9,60-80,0-4,"(-0.018, 1.8]"
40,Male,Unemployed,2.1,TikTok,52,7.6,6.7,5.6,2.0,5.7,1.4,0,True,False,2,7,3.1,20-40,0-4,"(1.8, 3.6]"
41,Male,Health,1.8,Facebook,42,9.3,2.8,2.0,9.0,6.1,2.5,6,False,False,1,15,3.0,40-60,0-4,"(-0.018, 1.8]"
54,Female,Health,2.2,Telegram,62,7.4,6.0,5.2,9.0,7.3,1.0,7,False,True,6,2,5.2,40-60,0-4,"(1.8, 3.6]"
52,Female,Unemployed,2.2,Instagram,50,7.5,4.2,3.5,2.0,6.8,0.3,0,False,False,4,7,2.8,40-60,0-4,"(1.8, 3.6]"
61,Other,Student,2.3,Instagram,53,5.1,3.4,4.6,10.0,6.3,1.5,3,False,False,2,14,1.2,60-80,0-4,"(1.8, 3.6]"
57,Female,Unemployed,3.3,Twitter,52,5.9,6.0,5.6,7.0,6.9,0.0,5,False,True,2,9,5.2,40-60,0-4,"(1.8, 3.6]"
39,Female,Student,2.2,Facebook,59,6.1,7.5,7.6,3.0,4.7,0.8,4,False,True,3,5,7.1,20-40,0-4,"(1.8, 3.6]"
44,Male,Education,0.0,Instagram,61,7.7,6.6,5.8,5.0,3.6,1.4,3,True,False,2,4,6.7,40-60,,"(-0.018, 1.8]"
52,Female,Unemployed,3.4,Telegram,65,6.5,7.7,6.4,7.0,8.1,0.4,2,False,True,1,5,7.1,40-60,0-4,"(1.8, 3.6]"
18,Male,Student,1.6,Telegram,59,9.2,6.7,5.8,3.0,5.2,2.1,0,False,False,1,2,6.2,0-20,0-4,"(-0.018, 1.8]"
52,Male,Finance,3.9,TikTok,37,5.4,4.5,3.0,1.0,7.5,0.1,8,False,False,2,17,1.8,40-60,0-4,"(3.6, 5.4]"
54,Female,IT,6.3,TikTok,57,7.7,2.3,1.4,5.0,5.8,1.7,3,True,False,2,28,1.8,40-60,4-8,"(5.4, 7.2]"
64,Male,Student,1.7,Telegram,73,7.1,2.4,2.2,8.0,7.3,1.9,1,False,False,5,1,1.8,60-80,0-4,"(-0.018, 1.8]"
31,Male,Unemployed,4.8,Facebook,68,4.6,6.9,5.4,9.0,5.2,2.4,1,True,False,3,3,6.0,20-40,4-8,"(3.6, 5.4]"
20,Female,Health,2.2,Facebook,69,7.5,8.3,7.7,5.0,5.5,0.9,6,True,True,3,3,10.0,0-20,0-4,"(1.8, 3.6]"
18,Male,Unemployed,2.4,Telegram,63,10.0,7.0,2.2,5.0,3.6,1.3,10,False,False,1,26,2.1,0-20,0-4,"(1.8, 3.6]"
22,Male,Finance,3.8,Telegram,67,7.6,5.7,5.5,6.0,6.7,0.9,7,False,False,2,27,5.5,20-40,0-4,"(3.6, 5.4]"
43,Male,Health,0.0,TikTok,66,5.2,3.8,6.0,6.0,5.0,1.2,3,False,False,2,16,3.3,40-60,,"(-0.018, 1.8]"
31,Male,Student,0.0,Telegram,59,10.4,7.1,6.4,9.0,8.5,1.8,9,True,False,2,29,6.8,20-40,,"(-0.018, 1.8]"
56,Male,Unemployed,3.1,TikTok,70,7.4,2.5,2.6,4.0,6.7,1.1,6,False,False,3,26,2.0,40-60,0-4,"(1.8, 3.6]"
44,Female,Student,0.0,TikTok,71,9.8,6.8,6.5,4.0,3.2,0.5,8,True,False,3,24,6.0,40-60,,"(-0.018, 1.8]"
26,Male,Finance,5.2,TikTok,64,8.9,5.5,6.9,3.0,6.5,0.0,6,False,True,4,19,8.0,20-40,4-8,"(3.6, 5.4]"
32,Female,Health,5.7,Twitter,56,8.2,4.1,3.5,5.0,5.0,2.5,6,False,False,0,6,3.9,20-40,4-8,"(5.4, 7.2]"
32,Male,IT,3.7,Facebook,57,7.5,4.7,3.9,8.0,3.5,1.3,10,False,False,5,6,4.5,20-40,0-4,"(3.6, 5.4]"
43,Female,IT,2.7,Telegram,50,11.9,2.2,1.3,6.0,5.8,1.4,7,True,False,1,21,0.9,40-60,0-4,"(1.8, 3.6]"
59,Female,Finance,5.2,Twitter,57,8.6,6.8,5.3,3.0,5.7,1.3,9,False,False,4,9,5.4,40-60,4-8,"(3.6, 5.4]"
30,Female,Unemployed,2.1,TikTok,59,6.4,4.3,3.8,1.0,6.7,0.0,4,False,False,1,13,4.4,20-40,0-4,"(1.8, 3.6]"
49,Female,Student,2.2,Twitter,55,5.0,7.4,6.3,7.0,6.2,0.6,8,False,False,1,15,4.9,40-60,0-4,"(1.8, 3.6]"
56,Female,Unemployed,1.8,Twitter,56,9.1,6.6,6.6,2.0,4.7,0.3,4,True,True,2,2,6.5,40-60,0-4,"(-0.018, 1.8]"
49,Male,Finance,1.3,Facebook,59,4.8,6.5,6.6,6.0,6.9,1.5,10,False,False,1,26,7.3,40-60,0-4,"(-0.018, 1.8]"
21,Female,Health,5.6,Instagram,72,4.2,2.7,1.8,8.0,9.0,0.0,8,True,False,0,27,6.8,20-40,4-8,"(5.4, 7.2]"
47,Female,IT,5.5,TikTok,46,9.7,7.3,6.9,5.0,7.6,0.0,1,False,True,2,27,6.4,40-60,4-8,"(5.4, 7.2]"
54,Male,Student,1.1,Twitter,51,4.0,2.5,1.8,7.0,5.9,0.2,2,True,False,1,28,0.8,40-60,0-4,"(-0.018, 1.8]"
40,Male,Health,1.5,Telegram,53,3.4,3.0,2.8,9.0,6.9,0.9,6,True,True,1,17,2.3,20-40,0-4,"(-0.018, 1.8]"
56,Male,IT,2.3,Instagram,54,7.8,8.1,7.2,2.0,7.5,1.5,8,False,False,0,6,7.6,40-60,0-4,"(1.8, 3.6]"
62,Female,IT,5.4,Instagram,68,8.3,5.0,4.6,10.0,6.3,0.0,9,True,False,2,18,4.1,60-80,4-8,"(3.6, 5.4]"
32,Male,Education,2.3,Twitter,59,6.1,8.8,8.0,5.0,7.1,0.5,3,False,True,2,8,4.1,20-40,0-4,"(1.8, 3.6]"
60,Male,Student,3.3,Instagram,54,7.6,3.7,2.6,1.0,5.1,1.1,7,False,False,3,13,4.2,40-60,0-4,"(1.8, 3.6]"
46,Male,Finance,0.9,Instagram,52,5.1,6.8,5.7,5.0,7.8,1.9,4,True,True,1,19,5.1,40-60,0-4,"(-0.018, 1.8]"
53,Female,Education,6.0,Twitter,57,5.2,4.4,4.8,7.0,7.7,1.8,8,True,False,1,8,4.6,40-60,4-8,"(5.4, 7.2]"
30,Male,IT,0.7,Facebook,57,8.5,2.1,2.4,5.0,7.3,0.7,0,True,False,0,21,6.1,20-40,0-4,"(-0.018, 1.8]"
49,Male,Student,2.2,Telegram,54,5.1,8.2,7.5,6.0,6.6,0.1,0,True,False,2,25,7.6,40-60,0-4,"(1.8, 3.6]"
24,Female,Student,0.0,TikTok,53,4.5,3.2,3.4,8.0,6.1,1.6,5,False,False,3,8,3.3,20-40,,"(-0.018, 1.8]"
39,Female,Education,5.5,Facebook,54,8.0,7.7,6.7,5.0,5.5,1.0,3,False,False,1,2,2.3,20-40,4-8,"(5.4, 7.2]"
45,Female,Health,2.9,TikTok,58,7.3,2.7,2.3,3.0,8.7,0.3,3,True,False,4,5,1.4,40-60,0-4,"(1.8, 3.6]"
19,Female,Health,6.6,Twitter,79,6.4,6.6,5.9,8.0,8.1,0.0,10,False,True,4,16,6.3,0-20,4-8,"(5.4, 7.2]"
59,Male,Finance,1.0,TikTok,48,7.1,7.1,6.2,6.0,7.6,0.4,9,True,False,0,11,4.4,40-60,0-4,"(-0.018, 1.8]"
62,Male,Student,5.1,Facebook,66,8.5,4.4,3.6,2.0,5.8,0.7,2,False,False,3,16,2.4,60-80,4-8,"(3.6, 5.4]"
23,Male,Unemployed,3.8,Telegram,63,7.4,3.9,4.0,3.0,4.5,0.8,7,False,False,1,20,4.1,20-40,0-4,"(3.6, 5.4]"
45,Female,Education,1.4,Facebook,61,3.3,8.6,7.7,3.0,3.5,1.0,6,True,True,0,0,9.0,40-60,0-4,"(-0.018, 1.8]"
45,Male,IT,1.7,Instagram,60,9.5,3.5,3.1,2.0,7.6,1.1,8,False,False,3,14,2.2,40-60,0-4,"(-0.018, 1.8]"
61,Female,Health,4.1,Instagram,53,9.7,2.8,1.5,4.0,7.5,1.9,6,True,False,3,21,1.4,60-80,4-8,"(3.6, 5.4]"
